"title","video_url","duration","thumbnail_url","channel_name","channel_url","relative_date","estimated_date"
"The New Siri is Actually Good","https://www.youtube.com/watch?v=uQ3lL68hNK4","11:11","https://i.ytimg.com/vi/uQ3lL68hNK4/hqdefault_custom_2.jpg","Joanna Stern","https://www.youtube.com/@JoannaStern","1d ago",""
"Angèle - Dis-le (Official Video)","https://www.youtube.com/watch?v=IvfuwIRUFU0","4:09","https://i.ytimg.com/vi/IvfuwIRUFU0/hqdefault.jpg","Angèle","https://www.youtube.com/channel/UCiP2tOO8zRo47GFd5rc8rkA","1d ago",""
"watchOS 27 Is Better Than You Think, Here's What's New!","https://www.youtube.com/watch?v=KF35H65oByk","11:43","https://i.ytimg.com/vi/KF35H65oByk/hqdefault_custom_2.jpg","9to5Mac","https://www.youtube.com/@9to5Mac","21h ago",""
"Warning: This Video Will Make You Question Your Memories","https://www.youtube.com/watch?v=PqtggjVAi8M","13:56","https://i.ytimg.com/vi/PqtggjVAi8M/hqdefault_custom_3.jpg","Kurzgesagt – In a Nutshell","https://www.youtube.com/@kurzgesagt","3d ago",""
"The Most Interesting Displays In The World!","https://www.youtube.com/watch?v=WOzcFkld6_g","15:57","https://i.ytimg.com/vi/WOzcFkld6_g/hqdefault.jpg","Marques Brownlee","https://www.youtube.com/@mkbhd","3d ago",""
"20 Hidden iOS 27 Features That Make It SO Much Better","https://www.youtube.com/watch?v=D_TWgpJXn2I","17:54","https://i.ytimg.com/vi/D_TWgpJXn2I/hqdefault.jpg","9to5Mac","https://www.youtube.com/@9to5Mac","5d ago",""
"He Once Worked at Subway. At 58, He Solved An ""Impossible"" Problem","https://www.youtube.com/watch?v=8HBDE-msUjw","41:30","https://i.ytimg.com/vi/8HBDE-msUjw/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","5d ago",""
"Meet the slow loris, the only venomous primate in existence - Stephanie A. Poindexter","https://www.youtube.com/watch?v=JDqpcHGfJ2I","6:00","https://i.ytimg.com/vi/JDqpcHGfJ2I/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","8d ago",""
"The Entry-Level Job Crisis","https://www.youtube.com/watch?v=j2QEieIiiXg","19:40","https://i.ytimg.com/vi/j2QEieIiiXg/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","7d ago",""
"Just how ancient is sumo? - Lee Thompson","https://www.youtube.com/watch?v=Q9Vt6NGBVBc","5:38","https://i.ytimg.com/vi/Q9Vt6NGBVBc/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","10d ago",""
